Year,Attack Type,Total Attack
2007,Armed Assault,217
2007,Assassination,37
2007,Bombing/Explosion,737
2007,Facility/Infrastructure Attack,3
2007,Hostage Taking (Barricade Incident),1
2007,Hostage Taking (Kidnapping),48
2007,Unknown,4
2008,Armed Assault,164
2008,Assassination,68
2008,Bombing/Explosion,830
2008,Hostage Taking (Kidnapping),39
2008,Unknown,5
2009,Armed Assault,122
2009,Assassination,73
2009,Bombing/Explosion,913
2009,Facility/Infrastructure Attack,6
2009,Hostage Taking (Kidnapping),16
2009,Unknown,7
2010,Armed Assault,157
2010,Assassination,147
2010,Bombing/Explosion,853
2010,Facility/Infrastructure Attack,2
2010,Hostage Taking (Barricade Incident),1
2010,Hostage Taking (Kidnapping),14
2010,Unarmed Assault,1
2010,Unknown,4
2011,Armed Assault,297
2011,Assassination,153
2011,Bombing/Explosion,816
2011,Facility/Infrastructure Attack,6
2011,Hostage Taking (Kidnapping),28
2011,Unarmed Assault,1
2011,Unknown,7
2012,Armed Assault,247
2012,Assassination,58
2012,Bombing/Explosion,1118
2012,Facility/Infrastructure Attack,2
2012,Hijacking,1
2012,Hostage Taking (Kidnapping),7
2012,Unknown,4
2013,Armed Assault,491
2013,Assassination,165
2013,Bombing/Explosion,2128
2013,Facility/Infrastructure Attack,6
2013,Hijacking,1
2013,Hostage Taking (Barricade Incident),10
2013,Hostage Taking (Kidnapping),39
2013,Unknown,12
2014,Armed Assault,543
2014,Assassination,173
2014,Bombing/Explosion,2871
2014,Facility/Infrastructure Attack,32
2014,Hijacking,6
2014,Hostage Taking (Barricade Incident),6
2014,Hostage Taking (Kidnapping),185
2014,Unknown,117
2015,Armed Assault,145
2015,Assassination,86
2015,Bombing/Explosion,2200
2015,Facility/Infrastructure Attack,9
2015,Hostage Taking (Barricade Incident),2
2015,Hostage Taking (Kidnapping),134
2015,Unknown,175
2016,Armed Assault,169
2016,Assassination,53
2016,Bombing/Explosion,2760
2016,Facility/Infrastructure Attack,51
2016,Hostage Taking (Barricade Incident),2
2016,Hostage Taking (Kidnapping),136
2016,Unarmed Assault,1
2016,Unknown,188
2017,Armed Assault,187
2017,Assassination,50
2017,Bombing/Explosion,1866
2017,Facility/Infrastructure Attack,22
2017,Hijacking,2
2017,Hostage Taking (Barricade Incident),2
2017,Hostage Taking (Kidnapping),115
2017,Unarmed Assault,2
2017,Unknown,220